,PID1,PID2,SMILES1,SMILES2,ratio,Comp1_TC,Comp2_TC,TC_mean,TC_std,outperform,weight
0,P010077,P020056,*/C=C/CCCCCCCC*,*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,0.2,0.369,0.359,0.384,0.0375,1,1
1,P010077,P020056,*/C=C/CCCCCCCC*,*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,1.0,0.369,0.359,0.283,0.0231,0,3
2,P010077,P020056,*/C=C/CCCCCCCC*,*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,5.0,0.369,0.359,0.284,0.0261,0,5
3,P010077,P100229,*/C=C/CCCCCCCC*,*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,0.2,0.369,0.424,0.43,0.0403,1,1
4,P010077,P100229,*/C=C/CCCCCCCC*,*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,1.0,0.369,0.424,0.363,0.0359,0,3
5,P010077,P100229,*/C=C/CCCCCCCC*,*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,5.0,0.369,0.424,0.32,0.0329,0,5
6,P070096,P100240,*CCCCCCCCCCCCCCCCCCOCO*,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,0.2,0.431,0.515,0.36,0.0309,0,1
7,P070096,P100240,*CCCCCCCCCCCCCCCCCCOCO*,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.0,0.431,0.515,0.396,0.0266,0,3
8,P070096,P100240,*CCCCCCCCCCCCCCCCCCOCO*,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,5.0,0.431,0.515,0.456,0.0327,0,5
9,P010004,P010007,*CC(*)CCC,*CC(*)CCCC,0.2,0.26,0.225,0.243,0.0274,0,1
10,P010004,P010007,*CC(*)CCC,*CC(*)CCCC,1.0,0.26,0.225,0.231,0.0209,0,3
11,P010004,P010007,*CC(*)CCC,*CC(*)CCCC,5.0,0.26,0.225,0.207,0.0243,0,5
12,P010004,P010080,*CC(*)CCC,*CC(*)CCCCCCCCCCCCCC,0.2,0.26,0.394,0.329,0.033,0,1
13,P010004,P010080,*CC(*)CCC,*CC(*)CCCCCCCCCCCCCC,1.0,0.26,0.394,0.308,0.0295,0,3
14,P010004,P010080,*CC(*)CCC,*CC(*)CCCCCCCCCCCCCC,5.0,0.26,0.394,0.262,0.0341,0,5
15,P010004,P100240,*CC(*)CCC,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,0.2,0.26,0.515,0.288,0.0328,0,1
16,P010004,P100240,*CC(*)CCC,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.0,0.26,0.515,0.241,0.0229,0,3
17,P010004,P100240,*CC(*)CCC,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,5.0,0.26,0.515,0.278,0.0321,0,5
18,P010004,P462407,*CC(*)CCC,*Nc1ccc(*)cc1OCCCCCCCCCCCCCCCC,0.2,0.26,0.404,0.396,0.0426,0,1
19,P010004,P462407,*CC(*)CCC,*Nc1ccc(*)cc1OCCCCCCCCCCCCCCCC,1.0,0.26,0.404,0.281,0.026,0,3
20,P010004,P462407,*CC(*)CCC,*Nc1ccc(*)cc1OCCCCCCCCCCCCCCCC,5.0,0.26,0.404,0.22,0.0233,0,5
21,P382002,P010018,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCC(*)(C)C,0.2,0.468,0.223,0.286,0.022,0,1
22,P382002,P010018,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCC(*)(C)C,1.0,0.468,0.223,0.316,0.0381,0,3
23,P382002,P010018,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCC(*)(C)C,5.0,0.468,0.223,0.408,0.0274,0,5
24,P382002,P010021,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)C1CC1,0.2,0.468,0.172,0.194,0.033,0,1
25,P382002,P010021,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)C1CC1,1.0,0.468,0.172,0.32,0.0173,0,3
26,P382002,P010021,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)C1CC1,5.0,0.468,0.172,0.379,0.0295,0,5
27,P382002,P010026,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CC1CCCCC1,0.2,0.468,0.203,0.261,0.0273,0,1
28,P382002,P010026,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CC1CCCCC1,1.0,0.468,0.203,0.357,0.0217,0,3
29,P382002,P010026,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CC1CCCCC1,5.0,0.468,0.203,0.319,0.033,0,5
30,P382002,P040132,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)C(=O)NCCCCCCCCCCCCCC,0.2,0.468,0.367,0.336,0.0408,0,1
31,P382002,P040132,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)C(=O)NCCCCCCCCCCCCCC,1.0,0.468,0.367,0.392,0.0254,0,3
32,P382002,P040132,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)C(=O)NCCCCCCCCCCCCCC,5.0,0.468,0.367,0.309,0.0264,0,5
33,P382002,P402216,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCNC(=O)CCCCCCCCCCCCCCC(=O)N*,0.2,0.468,0.45,0.394,0.0367,0,1
34,P382002,P402216,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCNC(=O)CCCCCCCCCCCCCCC(=O)N*,1.0,0.468,0.45,0.348,0.0342,0,3
35,P382002,P402216,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCNC(=O)CCCCCCCCCCCCCCC(=O)N*,5.0,0.468,0.45,0.501,0.0297,1,5
36,P382002,P100240,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,0.2,0.468,0.515,0.384,0.0239,0,1
37,P382002,P100240,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.0,0.468,0.515,0.371,0.0235,0,3
38,P382002,P100240,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,5.0,0.468,0.515,0.212,0.02,0,5
39,P382002,P010077,*c1cc(CCCCCCCCCCCCC)c(*)s1,*/C=C/CCCCCCCC*,0.2,0.468,0.369,0.357,0.0266,0,1
40,P382002,P010077,*c1cc(CCCCCCCCCCCCC)c(*)s1,*/C=C/CCCCCCCC*,1.0,0.468,0.369,0.377,0.0296,0,3
41,P382002,P010077,*c1cc(CCCCCCCCCCCCC)c(*)s1,*/C=C/CCCCCCCC*,5.0,0.468,0.369,0.398,0.034,0,5
42,P382002,P100229,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,0.2,0.468,0.424,0.423,0.026,0,1
43,P382002,P100229,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,1.0,0.468,0.424,0.443,0.0401,0,3
44,P382002,P100229,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,5.0,0.468,0.424,0.424,0.021,0,5
45,P382002,P010004,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCC,0.2,0.468,0.26,0.261,0.0257,0,1
46,P382002,P010004,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCC,1.0,0.468,0.26,0.228,0.0203,0,3
47,P382002,P010004,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCC,5.0,0.468,0.26,0.458,0.0407,0,5
48,P382002,P010007,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCCC,0.2,0.468,0.225,0.296,0.032,0,1
49,P382002,P010007,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCCC,1.0,0.468,0.225,0.314,0.0333,0,3
50,P382002,P010007,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCCC,5.0,0.468,0.225,0.321,0.0234,0,5
51,P382002,P010080,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCCCCCCCCCCCCC,0.2,0.468,0.394,0.337,0.0246,0,1
52,P382002,P010080,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCCCCCCCCCCCCC,1.0,0.468,0.394,0.373,0.0425,0,3
53,P382002,P010080,*c1cc(CCCCCCCCCCCCC)c(*)s1,*CC(*)CCCCCCCCCCCCCC,5.0,0.468,0.394,0.363,0.0329,0,5
